enrollment_id,student_id,course_id,term_code,grade,grade_points,pass_flag
9098,1025,306,SPRING2026,A-,3.7,Y
9099,1025,307,SPRING2026,B+,3.3,Y
9100,1025,308,SPRING2026,A-,3.7,Y
9101,1026,306,SPRING2026,C+,2.3,Y
9102,1026,307,SPRING2026,B-,2.7,Y
9103,1026,308,SPRING2026,B,3.0,Y
9104,1026,309,SPRING2026,B,3.0,Y
9105,1027,307,SPRING2026,A-,3.7,Y
9106,1027,308,SPRING2026,A,4.0,Y
9107,1027,309,SPRING2026,A-,3.7,Y
9108,1027,310,SPRING2026,B+,3.3,Y
9109,1028,308,SPRING2026,B,3.0,Y
9110,1028,309,SPRING2026,B-,2.7,Y
9111,1028,310,SPRING2026,C+,2.3,Y
9112,1028,301,SPRING2026,B,3.0,Y
9113,1029,309,SPRING2026,A,4.0,Y
9114,1029,310,SPRING2026,B+,3.3,Y
9115,1029,301,SPRING2026,A,4.0,Y
9116,1029,302,SPRING2026,A-,3.7,Y
9117,1030,310,SPRING2026,B+,3.3,Y
9118,1030,301,SPRING2026,B+,3.3,Y
9119,1030,302,SPRING2026,B,3.0,Y
9120,1030,303,SPRING2026,A-,3.7,Y
